Designator,Mid X,Mid Y,Rotation,Layer
A1,173.802,-99.114938,-90.0,top
C1,163.624,-108.1265,90.0,bottom
C10,149.1,-70.2625,-90.0,top
C11,170.9,-80.1875,90.0,top
C12,143.1,-70.2625,-90.0,top
C13,175.15,-86.28,180.0,top
C14,178.443621,-90.368,0.0,top
C15,178.6,-80.1875,90.0,top
C16,135.4,-70.2625,-90.0,top
C17,184.6,-80.2,90.0,top
C18,129.4,-70.2625,-90.0,top
C2,143.304,-111.0475,90.0,bottom
C3,156.2125,-85.6,180.0,bottom
C4,149.781,-83.6155,-90.0,top
C5,163.210999,-85.740005,-90.0,top
C6,143.558,-83.6155,90.0,top
C7,169.433999,-85.740005,90.0,top
C8,157.4625,-69.3,180.0,bottom
C9,164.9,-80.2,90.0,top
D1,161.465,-107.414,90.0,bottom
J1,166.274001,-119.577061,90.0,top
J2,135.684,-119.705,-90.0,bottom
J3,187.925,-71.762001,0.0,top
J4,126.125,-71.762001,0.0,top
L1,184.579,-101.631,90.0,top
L2,166.9,-79.787,0.0,top
L3,147.1,-70.676,180.0,top
L4,174.6,-79.787,0.0,top
L5,139.4,-70.676,180.0,top
L6,182.3,-79.787,0.0,top
L7,131.7,-70.676,180.0,top
Q1,180.134,-108.508,0.0,top
Q2,186.738,-105.481,-90.0,top
R1,164.656,-111.196,180.0,bottom
R10,184.309,-111.577,180.0,top
R2,160.814,-111.196,180.0,bottom
R3,160.594,-117.900938,180.0,top
R4,146.668999,-84.542,0.0,top
R5,166.307,-86.685,180.0,top
R6,146.622,-92.3795,180.0,top
R7,166.418,-94.813,0.0,top
R8,181.404,-112.45,-90.0,top
R9,187.246,-111.434,-90.0,top
U1,151.94,-119.705,0.0,top
U2,156.401001,-90.549001,0.0,top
U3,156.901001,-74.949001,0.0,top
Y1,149.05,-88.45,180.0,top
Y2,163.85,-90.65,0.0,top
